City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,San Patricio,US,28.017,-97.5169,75.88,89,18,13.38,few clouds
1,Sitka,US,57.0531,-135.33,37.29,75,90,10.36,light rain
2,Vaini,TO,-21.2,-175.2,84.36,79,20,10.36,few clouds
3,Barrow,US,71.2906,-156.7887,3.22,85,90,11.5,mist
4,Tres Arroyos,AR,-38.3739,-60.2798,62.58,89,100,3.96,moderate rain
5,Hermanus,ZA,-34.4187,19.2345,65.8,89,98,8.19,overcast clouds
6,Tasiilaq,GL,65.6145,-37.6368,26.76,59,100,7.7,overcast clouds
7,Daska,PK,32.3243,74.3497,46.38,43,0,3.06,clear sky
8,Hobart,AU,-42.8794,147.3294,62.02,73,75,1.99,broken clouds
9,Tiarei,PF,-17.5333,-149.3333,84.22,66,11,10.74,few clouds
10,Bluff,NZ,-46.6,168.3333,62.8,61,57,11.61,broken clouds
11,Bethel,US,41.3712,-73.414,35.04,72,75,3.44,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,63.39,63,98,12.03,overcast clouds
13,Albany,US,42.6001,-73.9662,30.81,76,100,1.01,overcast clouds
14,Plettenberg Bay,ZA,-34.0527,23.3716,65.17,96,93,3.47,overcast clouds
15,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,72,0,9.22,clear sky
16,Itoman,JP,26.1247,127.6694,74.17,50,20,11.5,few clouds
17,Cidreira,BR,-30.1811,-50.2056,66.33,67,4,9.33,clear sky
18,East London,ZA,-33.0153,27.9116,67.42,81,3,3.2,clear sky
19,Coihaique,CL,-45.5752,-72.0662,63.21,59,0,4.61,clear sky
20,Klaksvik,FO,62.2266,-6.589,43.72,82,100,22.32,overcast clouds
21,Dikson,RU,73.5069,80.5464,-26.61,97,49,5.77,scattered clouds
22,Novyy Urengoy,RU,66.0833,76.6333,-12.06,100,79,6.35,broken clouds
23,Nikolskoye,RU,59.7035,30.7861,-0.2,96,20,5.21,few clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,70.2,88,96,6.51,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,75.81,74,70,19.33,light rain
26,Mahajanga,MG,-15.7167,46.3167,77.02,83,20,3.44,few clouds
27,Norman Wells,CA,65.282,-126.8329,-7.56,84,40,2.3,scattered clouds
28,La Pena,FR,43.2821,5.5164,41.04,80,100,5.95,light rain
29,Asau,RO,46.4333,26.4,33.76,86,100,3.29,overcast clouds
30,Turan,VN,16.0678,108.2208,80.58,65,20,2.3,few clouds
31,Tamale,GH,9.4008,-0.8393,74.41,17,43,6.22,scattered clouds
32,Kapaa,US,22.0752,-159.319,80.58,82,20,4.0,few clouds
33,Zakamensk,RU,50.3741,103.2863,5.72,88,100,1.52,overcast clouds
34,Atuona,PF,-9.8,-139.0333,78.53,68,69,13.11,broken clouds
35,Cape Town,ZA,-33.9258,18.4232,64.11,84,20,1.99,few clouds
36,Ambon,ID,-3.6954,128.1814,85.55,68,47,4.21,light rain
37,Yellowknife,CA,62.456,-114.3525,-2.58,87,90,10.36,light snow
38,Mataura,NZ,-46.1927,168.8643,62.47,37,59,7.58,broken clouds
39,Bandarbeyla,SO,9.4942,50.8122,74.28,73,6,14.97,clear sky
40,Staryy Nadym,RU,65.6118,72.6842,1.71,83,100,9.6,overcast clouds
41,Jadu,LY,31.953,12.0261,42.93,59,0,7.0,clear sky
42,Leningradskiy,RU,69.3833,178.4167,-12.44,92,100,22.17,overcast clouds
43,Constitucion,CL,-35.3333,-72.4167,55.72,93,8,0.11,clear sky
44,Aswan,EG,24.0934,32.907,56.53,64,9,9.8,clear sky
45,Lianzhou,CN,24.7811,112.3825,69.44,48,0,0.81,clear sky
46,Zhigansk,RU,66.7697,123.3711,-8.81,96,100,20.54,overcast clouds
47,Thompson,CA,55.7435,-97.8558,1.56,78,90,10.36,light snow
48,Pisco,PE,-13.7,-76.2167,66.25,77,0,12.66,clear sky
49,Ponta Do Sol,PT,32.6667,-17.1,64.0,79,21,8.16,few clouds
50,Victoria,HK,22.2855,114.1577,73.45,69,1,1.01,clear sky
51,Iqaluit,CA,63.7506,-68.5145,4.73,72,75,8.05,light snow
52,Ravar,IR,31.2656,56.8055,48.2,26,45,1.12,scattered clouds
53,Bredasdorp,ZA,-34.5322,20.0403,65.28,92,99,8.05,overcast clouds
54,Vestmannaeyjar,IS,63.4427,-20.2734,36.21,81,100,8.5,overcast clouds
55,Labis,MY,2.385,103.021,84.38,66,100,8.48,overcast clouds
