City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bethel,US,41.3712,-73.414,38.98,66,75,5.75,broken clouds
1,Bingol,TR,38.8847,40.4939,37.58,99,100,3.89,light rain
2,Ribeira Grande,PT,38.5167,-28.7,63.0,59,75,5.75,broken clouds
3,Nanakuli,US,21.3906,-158.1547,76.95,83,90,4.61,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,75.16,66,16,16.55,few clouds
5,Ahipara,NZ,-35.1667,173.1667,60.93,93,37,3.62,scattered clouds
6,Butaritari,KI,3.0707,172.7902,82.11,78,98,11.65,light rain
7,Cidreira,BR,-30.1811,-50.2056,72.09,58,30,11.92,scattered clouds
8,Santa Isabel,BR,-23.3156,-46.2214,70.66,66,78,9.8,broken clouds
9,Hobart,AU,-42.8794,147.3294,50.05,79,87,3.44,overcast clouds
10,Salto,UY,-31.3833,-57.9667,80.76,50,0,11.5,clear sky
11,Provideniya,RU,64.3833,-173.3,5.14,94,100,19.19,overcast clouds
12,Puri,IN,19.8,85.85,73.92,73,1,10.85,clear sky
13,Bluff,NZ,-46.6,168.3333,52.81,88,100,4.25,overcast clouds
14,Talnakh,RU,69.4865,88.3972,1.2,99,100,16.8,snow
15,Georgetown,MY,5.4112,100.3354,82.89,77,20,1.99,few clouds
16,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,12.66,clear sky
17,Avarua,CK,-21.2078,-159.775,77.05,94,90,2.3,light rain
18,Samagaltay,RU,50.6022,95.0047,15.1,95,100,2.59,light snow
19,Muros,ES,42.7762,-9.0603,54.23,79,99,21.56,overcast clouds
20,Jamestown,US,42.097,-79.2353,29.52,87,90,3.0,light snow
21,Ushuaia,AR,-54.8,-68.3,53.22,46,75,18.41,broken clouds
22,Busselton,AU,-33.65,115.3333,73.98,58,1,9.35,clear sky
23,Fortuna,US,40.5982,-124.1573,51.42,76,90,3.0,overcast clouds
24,Barrow,US,71.2906,-156.7887,8.62,78,90,28.77,light snow
25,Birao,CF,10.2849,22.7882,86.2,15,9,6.2,clear sky
26,Storforshei,NO,66.4043,14.5233,15.58,62,20,1.14,few clouds
27,Thompson,CA,55.7435,-97.8558,-36.24,74,75,0.0,broken clouds
28,Dikson,RU,73.5069,80.5464,0.79,94,100,22.35,overcast clouds
29,Khatanga,RU,71.9667,102.5,1.74,92,100,11.32,overcast clouds
30,Gambo,CF,4.6482,22.2633,82.56,37,63,2.64,broken clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,75,12.66,light rain
32,Ryotsu,JP,38.0833,138.4333,51.78,69,100,12.19,overcast clouds
33,Severo-Kurilsk,RU,50.6789,156.125,31.21,60,93,28.83,overcast clouds
34,Santarem,BR,-2.4431,-54.7083,78.93,100,75,3.44,broken clouds
35,La Tuque,CA,47.4334,-72.7824,1.65,85,100,0.0,overcast clouds
36,La Ronge,CA,55.1001,-105.2842,-0.15,85,90,11.5,light snow
37,Raga,SS,8.4596,25.678,86.7,17,73,3.96,broken clouds
38,New Norfolk,AU,-42.7826,147.0587,49.71,63,90,1.99,overcast clouds
39,Lompoc,US,34.6391,-120.4579,60.13,91,90,0.0,fog
40,Yulara,AU,-25.2406,130.9889,78.64,31,21,10.36,few clouds
41,Lata,PT,40.1629,-8.3327,54.81,79,83,14.29,broken clouds
42,Kaitangata,NZ,-46.2817,169.8464,53.22,87,100,2.37,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,68.34,91,100,15.41,light rain
44,Elko,US,41.0002,-115.5012,15.82,77,50,4.63,scattered clouds
45,Flin Flon,CA,54.7682,-101.865,-11.36,77,75,6.91,broken clouds
46,Bambous Virieux,MU,-20.3428,57.7575,80.85,69,40,6.91,scattered clouds
47,Hithadhoo,MV,-0.6,73.0833,81.82,75,100,10.8,overcast clouds
48,Ambon,ID,-3.6954,128.1814,79.07,88,99,11.25,overcast clouds
49,Norman Wells,CA,65.282,-126.8329,18.3,93,100,15.9,light snow
50,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,4.56,light rain
51,Rio Grande,BR,-32.035,-52.0986,77.11,58,81,13.44,broken clouds
