City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2021-12-03 14:19:01,-8.9266,125.4092,62.85,93,100,1.63
1,Ancud,CL,2021-12-03 14:16:49,-41.8697,-73.8203,58.53,60,0,5.68
2,Puerto Ayora,EC,2021-12-03 14:19:02,-0.7393,-90.3518,73.36,84,95,8.23
3,Saint George,US,2021-12-03 14:19:03,37.1041,-113.5841,53.35,51,1,0.0
4,Namibe,AO,2021-12-03 14:19:04,-15.1961,12.1522,77.16,65,9,15.39
5,Tuktoyaktuk,CA,2021-12-03 14:19:05,69.4541,-133.0374,-20.2,69,20,14.97
6,Jamestown,US,2021-12-03 14:16:58,42.097,-79.2353,35.53,86,90,5.01
7,Port Hardy,CA,2021-12-03 14:19:06,50.6996,-127.4199,39.2,100,75,0.0
8,Rikitea,PF,2021-12-03 14:19:07,-23.1203,-134.9692,75.83,75,4,16.62
9,Talaya,RU,2021-12-03 14:19:08,61.3833,152.75,-24.18,100,100,0.27
10,Atuona,PF,2021-12-03 14:19:10,-9.8,-139.0333,78.22,69,33,19.93
11,Dingle,PH,2021-12-03 14:19:10,10.9995,122.6711,73.74,88,90,8.05
12,Thompson,CA,2021-12-03 14:19:11,55.7435,-97.8558,-5.64,77,90,13.8
13,Bredasdorp,ZA,2021-12-03 14:19:12,-34.5322,20.0403,69.28,54,100,14.85
14,Ushuaia,AR,2021-12-03 14:15:17,-54.8,-68.3,53.26,47,40,6.91
15,Avarua,CK,2021-12-03 14:15:16,-21.2078,-159.775,77.05,83,100,9.22
16,Goderich,CA,2021-12-03 14:19:14,43.7501,-81.7165,36.91,86,100,10.36
17,Orebro,SE,2021-12-03 14:17:07,59.2741,15.2066,23.18,86,90,3.44
18,Bluff,NZ,2021-12-03 14:19:15,-46.6,168.3333,58.8,93,51,1.83
19,Albany,US,2021-12-03 14:17:59,42.6001,-73.9662,35.46,70,89,5.01
20,Mataura,NZ,2021-12-03 14:19:16,-46.1927,168.8643,58.48,100,67,0.36
21,Jamtara,IN,2021-12-03 14:19:17,23.95,86.8,72.28,47,100,6.69
22,Yuyao,CN,2021-12-03 14:19:18,30.05,121.1494,42.57,60,0,2.98
23,Torbay,CA,2021-12-03 14:15:34,47.6666,-52.7314,49.28,95,90,25.32
24,Leningradskiy,RU,2021-12-03 14:19:19,69.3833,178.4167,10.22,86,100,12.17
25,Fort Nelson,CA,2021-12-03 14:15:34,58.8053,-122.7002,-9.81,77,75,5.75
26,Lasa,IT,2021-12-03 14:19:20,46.6166,10.7002,40.91,72,1,3.38
27,Punta Arenas,CL,2021-12-03 14:18:35,-53.15,-70.9167,55.42,50,75,32.21
28,East London,ZA,2021-12-03 14:19:21,-33.0153,27.9116,68.94,68,75,9.22
29,Parchim,DE,2021-12-03 14:19:21,53.4263,11.8488,37.71,82,100,16.26
30,Vila Franca Do Campo,PT,2021-12-03 14:19:22,37.7167,-25.4333,68.2,70,8,4.76
31,Betanzos,ES,2021-12-03 14:19:23,43.2804,-8.2147,57.67,80,75,1.99
32,Guerrero Negro,MX,2021-12-03 14:19:23,27.9769,-114.0611,60.57,85,11,8.59
33,Kwinana,AU,2021-12-03 14:19:24,-32.25,115.7667,77.81,45,0,19.64
34,Port Lincoln,AU,2021-12-03 14:19:24,-34.7333,135.8667,56.1,74,92,13.82
35,Hobart,AU,2021-12-03 14:19:25,-42.8794,147.3294,53.06,60,7,1.01
36,Paamiut,GL,2021-12-03 14:19:25,61.994,-49.6678,16.32,66,26,14.36
37,Buala,SB,2021-12-03 14:19:26,-8.145,159.5921,79.47,83,86,2.93
38,Norman Wells,CA,2021-12-03 14:19:27,65.282,-126.8329,-21.96,63,20,13.8
